id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,release_date,album_id,album_name,track_number,preview_url
2LWJ0zNei0z2WjHHwSNUkx,0.729,0.549,2,-5.332,0,0.0292,0.0865,0.0,0.0951,0.624,95.012,188575,4,False,62,2023-01-27,3oFZmnzIemQRpB0JOLzXRe,Voices (feat. Oliver Tree),1,https://p.scdn.co/mp3-preview/d12cf57f1604acf1960199f7e1a47655d27ae1da?cid=29942d75c20b46b9b01eb4cd31edff20
0YFCf4BiHqg6DjXW4hEYiX,0.587,0.655,4,-5.515,1,0.0374,0.00664,0.0,0.126,0.335,98.982,206680,4,False,52,2023-04-28,2WSeZEFsZKPJQ09abZCIaz,NATE SMITH (DELUXE),1,https://p.scdn.co/mp3-preview/1a7ce846f1f57975f9ec5435b4f110f5e14dd48f?cid=29942d75c20b46b9b01eb4cd31edff20
3h4VkSxRB1YCAS0FsxhV4J,0.706,0.75,8,-4.778,1,0.114,0.111,0.0,0.0378,0.856,90.967,193926,4,False,60,2023-02-08,1VCC0xpP4H4L2hXE0gj7Pv,Due,1,
6PUd24m9fRchObcALw6e8u,0.561,0.953,2,-3.449,1,0.0465,0.261,0.0,0.246,0.797,139.055,303200,4,False,19,2023-03-15,1DR8nKqLUR9gIlvW8pUkZg,息をする心 Special Edition,1,https://p.scdn.co/mp3-preview/e2d912c055f63068cbcebc67ba01c850cb251ffa?cid=29942d75c20b46b9b01eb4cd31edff20
5OSGdSxtulzlzdPdK2MQJC,0.755,0.676,5,-7.349,1,0.0377,0.0418,0.00176,0.204,0.461,123.98,209136,4,False,78,2023-04-13,5C82uAeAwABjDB7lsLL9iL,Esta Vida,1,https://p.scdn.co/mp3-preview/796608754d13d848ef6cea29afc4b190af8b720d?cid=29942d75c20b46b9b01eb4cd31edff20
3Wy9UYxGgqRQv65w5LwQB7,0.563,0.575,10,-5.072,1,0.0266,0.0452,0.0,0.101,0.162,145.103,212747,4,False,59,2023-04-28,2WSeZEFsZKPJQ09abZCIaz,NATE SMITH (DELUXE),10,https://p.scdn.co/mp3-preview/a53155e54350ccc1c73c162a2523346a45ac3e29?cid=29942d75c20b46b9b01eb4cd31edff20
65i1UPsUtPlEVzewEZR6sY,0.627,0.723,1,-6.241,0,0.0341,0.0141,3.66e-05,0.118,0.596,97.555,225200,4,False,58,2000-02-15,64qpmVqrwUlBihBMhZDyJj,Shades of Purple,1,https://p.scdn.co/mp3-preview/0f9536316f17ee57b05b67ba5696efeefaffd2a8?cid=29942d75c20b46b9b01eb4cd31edff20
02xwA3Ej9NPetftp9V7VZ3,0.607,0.498,0,-6.363,1,0.0311,0.239,4.04e-06,0.313,0.714,164.993,298664,4,False,66,2021-06-27,0Yp3xThk83SwBN8yP2IaTS,好きだから。,1,
2rJLtRZBBpBRGYkf21wPa3,0.466,0.953,1,-2.477,0,0.066,0.0234,0.0,0.302,0.591,82.529,253800,4,False,41,2023-09-27,7cKXrDUTEJg7xj6V57zSY4,アイドルなんかじゃなかったら (Special Edition),1,
6TI6qMiIiRUKoKLxZ95RnD,0.273,0.324,7,-11.104,1,0.0445,0.915,1.57e-05,0.56,0.372,133.158,107160,3,True,41,2023-10-13,2yyDNz8lkP0igqZfZzEgv0,Jonny,5,https://p.scdn.co/mp3-preview/06daff586f927350fed37b76efc3efe6198f9b1b?cid=29942d75c20b46b9b01eb4cd31edff20
4Dk42ykoREkq82ny0mWZnU,0.529,0.735,9,-3.905,1,0.153,0.295,0.0,0.112,0.617,76.209,257673,4,True,62,2023-06-30,2ua5bFkZLZl1lIgKWtYZIz,Pink Tape,21,https://p.scdn.co/mp3-preview/11324969d8edadd01cefa02890da40eadd2fc21c?cid=29942d75c20b46b9b01eb4cd31edff20
